title,context,desired_output,oc
Phoenicia under Assyrian rule,"Southern Canaan (in modern terms Israel, the Palestinian Territories and Jordan) was inhabited by a number of Semitic states speaking Canaanite languages, these being Israel, Judah, Samarra, Ammon, Edom, Moab, the Suteans and Amalekites. In addition, the Philistines migrated into this region from the Aegean, a non-Semitic Indo-European speaking people. Northern Canaan (in modern terms Lebanon the Mediterranean coast of Syria and far south west coast of Turkey) was also inhabited by Canaanite speaking peoples, coalesced into city states such as Tyre, Sidon, Berytus, Arvad, Simyra, Onoba and Tarshish. The term Phoenicia was applied to this region, but it is a later Greek application which was not used during the Assyrian period. To the east, in modern terms the interior of modern Syria (the Assyrian north east excluded), the region had since the 24th century BC been inhabited by the Canaanite speaking Amorites and for a time the East Semitic speaking Eblaites also, thus much of this region had been known as the Land of the Amurru. However, from the 12th century BC a new Semitic group appeared, in the form of the Arameans, and by the late 11th century BC this region was known as Aramea/Aram and Eber Nari and remained named as such during the latter part of the Middle Assyrian Empire, Neo Assyrian Empire, Neo-Babylonian Empire and Achaemenid Empire. The term Syria is in actuality originally a 10th-century BC Indo-Anatolian name for Assyria, centuries later applied by the Greeks during the Seleucid Empire (311–150 BC) not only to Assyria itself but much of the Levant (see Etymology of Syria). The approach of the devastating Assyrian armies would more often than not result in the vassalage of these states. Similarly, any long absence would result in rebellion, often sponsored by another of Assyria's numerous opponents. The result is that numerous Kings of Assyria launched campaigns to bring these economically important regions under Assyrian rule. The rebellion after one King's offensive would result in his successor's next vengeful assault. When Tyre ceased to pay tribute to the Assyrian kings, rebellion broke out.","During the Middle Assyrian Empire and the Neo-Assyrian Empire , Phoenicia, what is today known as Lebanon and coastal Syria, came under Assyrian rule on several occasions.",False
Seletracetam,"It was under development by UCB Pharmaceuticals as a more potent and effective anticonvulsant drug to replace levetiracetam but its development has been halted. There are two main mechanisms of action for seletracetam. The first is its high-affinity stereospecific binding to synaptic vesicle glycoprotein 2A (SV2A). Seletracetam has shown potent seizure suppression in models of acquired and genetic epilepsy, and has been well tolerated by various animal models. The second is its binding to N-type calcium channels and preventing influx of Ca2+ during high-voltage activation that is typical of epilepsy. While similar in structure to nootropic drugs, it is not expected to have cognitive enhancing properties. Seletracetam was in Phase II clinical trials under the supervision of the U.S. Food and Drug Administration (FDA) but its production is on hold.",Seletracetam is a pyrrolidone-derived drug of the racetam family that is structurally related to levetiracetam .,False
Patission Street,"Though it is known as Patission, its name was changed to 28 October Street, commemorating the day in 1940 that the Greek dictator Ioannis Metaxas refused the Italian dictator Benito Mussolini's ultimatum that Greece submit to Italian control, thus starting the Greco-Italian War. Patission Street connects the area known as Patissia with Omonoia Square in the center of Athens. It is crowded by bus and trolley bus lines, which connect the city center with Kypseli (trolley lines 2, 4, 9), Lamprini (trolley lines 5, 13, 14), Patissia (trolley line 11), N. Filadelpheia (trolley line 3), Perissos (bus lines 605, 054), Marousi (bus line A8) and Galatsi (bus line 608). It is a southbound one-way route with a northbound bus lane until it meets Marnis street, and it has three lanes per direction until Amerikis Square.","Patission Street is one of the major streets in central Athens, Greece.",False
Clang,"It uses the LLVM compiler infrastructure as its back end and has been part of the LLVM release cycle since LLVM 2.6. It is designed to act as a drop-in replacement for the GNU Compiler Collection (GCC), supporting most of its compilation flags and unofficial language extensions. Its contributors include Apple, Microsoft, Google, ARM, Sony, Intel and Advanced Micro Devices (AMD). It is open-source software, with source code released under the University of Illinois/NCSA License, a permissive free software licence. Since v9.0.0, it was relicensed to the Apache License 2.0 with LLVM Exceptions. Clang 12, the latest major version of Clang as of April 2021, has full support for all published C++ standards up to C++17, implements most features of C++20, and adds initial support for the upcoming C++23 standard. Since v6.0.0, Clang compiles C++ using the GNU++14 dialect by default, which includes features from the C++14 standard and conforming GNU extensions. The Clang project includes the Clang front end, a static analyzer, and several code analysis tools.","Clang is a compiler front end for the C, C++, Objective-C and Objective-C++ programming languages, as well as the OpenMP, OpenCL, RenderScript, CUDA and HIP frameworks.",False
Troy Davis,"MacPhail was working as a security guard at a Burger King restaurant when he intervened to defend a man being assaulted in a nearby parking lot. During Davis's 1991 trial, seven witnesses testified they had seen Davis shoot MacPhail, and two others testified Davis had confessed the murder to them. There were 34 witnesses who testified for the prosecution, and six others for the defense, including Davis. Although the murder weapon was not recovered, ballistic evidence presented at trial linked bullets recovered at or near the scene to those at another shooting in which Davis was also charged. He was convicted of murder and various lesser charges, including the earlier shooting, and was sentenced to death in August 1991. Davis maintained his innocence up to his execution. In the 20 years between his conviction and execution, Davis and his defenders secured support from the public, celebrities, and human rights groups. Amnesty International and other groups such as National Association for the Advancement of Colored People took up Davis's cause. Prominent politicians and leaders, including former President Jimmy Carter, Rev. Al Sharpton, Pope Benedict XVI, Archbishop Desmond Tutu, former U.S. Congressman from Georgia and presidential candidate Bob Barr, and former FBI Director and judge William S. Sessions called upon the courts to grant Davis a new trial or evidentiary hearing. In July 2007, September 2008, and October 2008, execution dates were scheduled, but each execution was stayed shortly before it was to take place. In 2009, the Supreme Court of the United States ordered the U.S. District Court for the Southern District of Georgia to consider whether new evidence ""that could not have been obtained at the time of trial clearly establishes [Davis'] innocence"". The evidentiary hearing was held in June 2010. The defense presented affidavits from seven of the nine trial witnesses whose original testimony had identified Davis as the murderer, but who it contended had changed or recanted their previous testimony. Some of these writings disavowed parts of prior testimony, or implicated Sylvester ""Redd"" Coles, who Davis contended was the actual triggerman. The state presented witnesses, including the police investigators and original prosecutors, who described a careful investigation of the crime, without any coercion. Davis did not call some of the witnesses who had supposedly recanted, despite their presence in the courthouse; accordingly their affidavits were given little weight by the judge. Evidence that Coles had confessed to the killing was excluded as hearsay because Coles was not subpoenaed by the defense to rebut it. In an August 2010 decision, the conviction was upheld. The court described defense efforts to upset the conviction as ""largely smoke and mirrors"" and found that several of the proffered affidavits were not recantations at all. Subsequent appeals, including to the Supreme Court, were rejected, and a fourth execution date was set for September 21, 2011. Nearly one million people signed petitions urging the Georgia Board of Pardons and Paroles to grant clemency. The Board denied clemency and, on September 21, it refused to reconsider its decision. After a last minute appeal to the United States Supreme Court was denied, the sentence was carried out through lethal injection on September 21, 2011.","Troy Anthony Davis was a man convicted of and executed for the August 19, 1989 murder of police officer Mark MacPhail in Savannah, Georgia.",False
That's My Desire,"The highest-charting version of the song was recorded by the Sammy Kaye orchestra in 1946, although a version of the song recorded by Frankie Laine has become better known over the years, being one of Laine's best-known recordings. It has been recorded by many other singers, including a number of doo-wop groups.","""That's My Desire"" is a 1931 popular song with music by Helmy Kresa and lyrics by Carroll Loveday.",False
Coming Out Stories,"Each episode follows a particular gay or lesbian individual's preparation and coming out to a particular person or group of people. The shows were produced by four time Academy Award nominees Kirk Simon and Karen Goodman. So far, there has been one season, which consisted of eight episodes, that ended on October, 2006 and has subsequently been rerun periodically. Episodes are also available on Logo's official website, and can be downloaded in the iPod format via iTunes. The series won a 2007 Insight Award and was nominated for the  National Association for Multi-Ethnicity in Communications (NAMEC) award that honors those who create outstanding content that depicts the world's rich, multi-ethnic experiences.","Coming Out Stories is an American reality television series that premiered on the LGBT-themed Logo television network with its first episode on February 16, 2006.",False
Kash Heed,He formerly served as the Minister of Public Safety and Solicitor General. He was formerly chief constable of the West Vancouver Police Department and a former superintendent with the Vancouver Police Department and was the first Indo-Canadian police chief in Canada.,"Kash P. Heed  is a Canadian former politician, who was elected as a BC Liberal Member of the Legislative Assembly of British Columbia in the 2009 provincial election, representing the riding of Vancouver-Fraserview.",False
John O'Leary (golfer),"In 1976 he won his first European Tour event, the Greater Manchester Open, and in 1982 he became only the third Irishman to win the Irish Open. He played in a number of team competitions, representing Great Britain and Ireland in the 1975 Ryder Cup, and playing for Ireland three times in the World Cup. After retiring as a tournament golfer he was an active administrator, being a director of the European Tour from 1985 to 2019 and being on the Ryder Cup committee.",John Eudes O'Leary was an Irish professional golfer who played on the European Tour through the 1970s and 1980s.,False
DC10 (nightclub),"It was born during the 90s as a music bar and began with a license for just 80 people, opened by two Spanish brothers, Deogracias lara Moreno and Antonio Lara Moreno. In 1999, two Italian promoters; Antonio Carbonaro and Andrea Pelino, joined in force, becoming partner at DC10, and creating during the same year the Circoloco brand, which would soon become the iconic event of DC10 and would then begin its residency each Monday during each Ibiza season. Throughout the years, the four entrepreneurs have grown DC10 to such a level, that it has now become a reference point for the world of what the Ibiza music scene has to offer. With a series of investments throughout the years, they have changed the structure of the nightclub to make it a space that holds a capacity of 4000 people, which is broken down into three distinct rooms; La Terrace, The Main Room and The Open Air Garden, each of which has been divided by musical genre. The work of the group of entrepreneurs has also led to a substantial modification of the license which now goes from a music bar to an event hall.",DC10 is a nightclub located in Ibiza on the Carretera of Salinas.,False
Kyriakos Papadopoulos,"Having made his first league appearances for Olympiacos at the age of 15, Papadopoulos moved to Germany in 2010 to join Schalke 04 and scored on his senior debut for Greece the following year, aged 19. However, his career progress in the Bundesliga was hampered by a succession of injuries over several seasons.",Kyriakos Papadopoulos is a Greek professional footballer who plays as a centre back for Prva HNL club Lokomotiva and the Greece national team.,False
Complexin,"These are called synaphin 1 and 2. In the presence of Ca2+, the transport vesicle protein synaptotagmin displaces complexin, allowing the SNARE protein complex to bind the transport vesicle to the presynaptic membrane. Complexin acts as both an inhibitor and a facilitator of synaptic vesicle fusion and neurotransmitter release. In one conformation, it clamps SNAREpin complexes, preventing vesicle fusion, while in a different conformation it releases the SNAREpins, allowing synaptotagmin to trigger fusion. Whereas complexin is not necessary for synaptic vesicle exocytosis, it does increase neurotransmitter release by 60–70% as demonstrated by complexin gene knockout in mice. A number of human neurological diseases have been linked to a deficiency of complexin. Synaphin can promote exocytosis by promoting interaction between the complementary syntaxin and synaptobrevin transmembrane regions that reside in opposing membranes prior to fusion.",Complexin refers to a one of a small set of eukaryotic cytoplasmic neuronal proteins which binds to the SNARE protein complex with a high affinity.,False
Right axis deviation,"It is measured using an electrocardiogram (ECG). Normally, this begins at the sinoatrial node (SA node); from here the wave of depolarisation travels down to the apex of the heart.  The hexaxial reference system can be used to visualise the directions in which the depolarisation wave may travel. On a hexaxial diagram  (see figure 1): If the electrical axis falls between the values of -30° to +90° this is considered normal. If the electrical axis is between -30° to -90° this is considered left axis deviation. If the electrical axis is between +90° to +180° this is considered right axis deviation (RAD). RAD is an ECG finding that arises either as an anatomically normal variant or an indicator of underlying pathology.",The electrical axis of the heart is the net direction in which the wave of depolarisation travels.,False
Intelisys,"Intelisys is founder of Cloud Services University (2012), the first cloud education platform designed exclusively for channel-based sales professionals. Intelisys delivers supplier neutral solutions to end-user customers through a nationwide network of telecom, data and cloud  sales and consulting channel professionals via the two-tier distribution model favored in sales of telecommunications network services and cloud services referred to as “the channel”.","Intelisys is an American technology services distributor that sells commercial voice, data and cloud services through an indirect sales channel of more than 1700 independent sales professionals.",False
USS Moreno (AT-87),"Her purpose was to aid ships, usually by towing, on the high seas or in combat or post-combat areas, plus ""other duties as assigned."" She served in the Atlantic Ocean and, at war's end, returned home proudly with three battle stars to her credit. Moreno was laid down as AT-87, on 26 June 1942, by William Cramp & Sons of Philadelphia; launched on 9 July 1942; sponsored by Mrs. Charles H. Kramb; and commissioned on 30 November 1942, Lt. (jg.) Victor H. Kyllberg in command.",{| |} USS Moreno was a constructed for the United States Navy during World War II.,False
Kerastaris,"It is situated on a hillside north of the river Alfeios at the southwestern foot of Mount Agios Ilias (or Profitis Ilias, 1100 m). It is 2 km west of Asea, 2 km north of Athinaio, 9 km east of Megalopoli and 16 km southwest of Tripoli. It has an altitude of 760 meters. It is 10 minutes from the  Korinth-Tripoli - Kalamata, fifteen minutes from  Tripoli and 40 minutes from Kalamata.","Kerastaris is a village in the municipal unit of Valtetsi, Municipality of Tripoli, Arcadia, Greece.",False
German military rifles,"This article discusses rifled shoulder arms developed in or for the military of the states that later became Germany; it excludes firearms of the Austrian Empire, except where they were used substantially by German troops. There was also a period in the late 20th century when Germany was again divided and the two nations had separate armies and weapons, in ""Cold War"" opposition. The various rifles used during this period are displayed here, identified by either East German or West German usage.","The evolution of German military rifles is a history of common and diverse paths followed by the separate German states, until the mid-19th century when Prussia emerged as the dominant state within Germany and the nation was unified.",False
Wali Mohammed Wali,"He is considered by many scholars to be the father of Urdu poetry, being the first established poet to have composed Ghazals in Urdu language and compiled a divan (a collection of ghazals where the entire alphabet is used at least once as the last letter to define the rhyme pattern). Before Wali, Indian Ghazals were composed in Persian, almost being replicated in thought and style from the original Persian masters like Saa'di, Jami and Khaqani. Wali began, using not only an Indian language, but Indian themes, idioms and imagery in his ghazals. It is said that his visit to Delhi in 1700, along with his divan of Urdu ghazals created a ripple in the literary circles of the north, inspiring them to produce stalwarts like Zauq, Sauda and Mir.","Wali Muhammad Wali , also known as Wali Dakhani, Wali Gujarati, and Wali Aurangabadi, was a classical Urdu poet from India.",False
Pa Dillon,"Born in Freshford, County Kilkenny, Dillon first played competitive hurling in various juvenile grades. He arrived on the inter-county scene at the age of seventeen when he first linked up with the Kilkenny minor team. He made his senior debut in a 1960 tournament game but had to wait until the 1964 championship before he became a regular. Dillon went on to play a key part for Kilkenny during a successful era for the team, and won three All-Ireland medals, six Leinster medals and one National Hurling League medal. Dillon represented the Leinster inter-provincial team on a number of occasions throughout his career, winning Railway Cup medals in 1965 and 1972. At club level he won two championship medals with St Lachtain's. Cited by many of his hurling peers as one of the best full-backs of his generation, Dillon won two Cú Chulainn. He was later named in the full-back position on the Kilkenny Hurling Team of the Century.","Patrick ""Pa"" Dillon was an Irish hurler who played as a full-back for the Kilkenny senior team.",False
Albanian water frog,"As its common name suggests, it prefers aquatic environments.  The Albanian water frog is an endangered species and known populations are currently in decline.  Significant threats to its habitat are presented by pollution and by drainage of wetlands, and a more direct threat is the aggressive collection of the species for commercial purposes. The frogs are medium-sized and males sometimes bear a distinctive bright green stripe down the length of the backbone.  Otherwise males are green to light brown in overall colouring with large black or dark brown spots.  Females are olive green or light brown in colour and also bear brown or black large spots.  As befits a species that prefers wetland habitats, the webbing on the feet extends to the tips of the toes.",The Albanian water frog is a species of true frog and is native to Albania and Montenegro.,False
USS Hillsborough County (LST-827),"Named after Hillsborough County, Florida, she was the only U.S. Naval vessel to bear the name. Originally laid down as USS LST-827 by the Missouri Valley Bridge & Iron Company of Evansville, Indiana on 13 October 1944; launched 22 November; sponsored by Mrs. Clark H. Woodward; and commissioned 12 December with Lieutenant R.&nbsp;L. Olander in command.",{| |} USS Hillsborough County was an built for the United States Navy during World War II.,False
Pseudophilautus adspersus,It was endemic to Sri Lanka.,Pseudophilautus adspersus was a species of frog in the family Rhacophoridae.,False
USS Narragansett (AT-88),"Her purpose was to aid ships, usually by towing, on the high seas or in combat or post-combat areas, plus ""other duties as assigned."" She served in the Atlantic Ocean and, at war’s end, returned home proudly with three battle stars to her credit. The fourth Narragansett to be so named by the U.S. Navy, AT-88 was laid down on 31 January 1942 by the Cramp Shipbuilding Co., Philadelphia; launched on 8 August 1942, sponsored by Miss Lois Kinehen Hill, and commissioned on 15 January 1943, Lt. (j.g.) C. J. Wichmann in command.",{| |} USS Narragansett was a constructed for the United States Navy during World War II.,False
Byzantine Empire under the Palaiologos dynasty,"Together with the preceding Nicaean Empire and the contemporary Frankokratia, this period is known as the late Byzantine Empire. From the start, the regime faced numerous problems. The Turks of Asia Minor had since 1263 been raiding and expanding into Byzantine territory in Asia Minor. Anatolia, which had formed the very heart of the shrinking empire, was systematically lost to numerous Turkic ghazis, whose raids evolved into conquering expeditions inspired by Islamic zeal, the prospect of economic gain, and the desire to seek refuge from the Mongols after the disastrous Battle of Köse Dağ in 1243. With a decreasing source of food and manpower, the Palaiologoi were forced to fight on several fronts, most of them being Christian states: the Second Bulgarian Empire, the Serbian Empire, the remnants of the Latin Empire and even the Knights Hospitaller. The loss of land in the east to the Turks and in the west to the Bulgarians was complemented by two disastrous civil wars, the Black Death and the 1354 earthquake at Gallipoli, whose destruction and evacuation allowed the Turks to occupy it. By 1380, the Byzantine Empire consisted of the capital Constantinople and a few other isolated exclaves, which only nominally recognized the Emperor as their lord. Nonetheless, Byzantine diplomacy coupled with the adroit exploitation of internal divisions and external threats among their enemies, and above all the invasion of Anatolia by Timur, allowed Byzantium to survive until 1453. The last remnants of the Byzantine Empire, the Despotate of the Morea and the Empire of Trebizond, fell shortly afterwards. However, the Palaiologan period witnessed a renewed flourishing in art and the letters, in what has been called the ""Palaiologian Renaissance"". The migration of Byzantine scholars to the West also helped to spark the Italian Renaissance.","The Byzantine Empire was ruled by the Palaiologos dynasty in the period between 1261 and 1453, from the restoration of Byzantine rule to Constantinople by the usurper Michael VIII Palaiologos following its recapture from the Latin Empire, founded after the Fourth Crusade , up to the Fall of Constantinople to the Ottoman Empire.",False
Windhaven,"The novel is a collection of three novellas compiled and first published together in 1981 by Timescape Books. It was published as a mass market paperback in 1982 by Pocket Books. Both editions featured cover art by Vincent Di Fate. It was later reprinted by Bantam Spectra in hardcover in 2001, and paperback in 2003 and 2012, with cover art by Stephen Youll. The novel was also published in paperback form in the UK by New English Library in 1982 and Gollancz in 1988. Windhaven was nominated for a Locus Award for Best Science Fiction Novel in 1982, and finished in second place in that year's Locus Poll.",Windhaven is a science fiction fix-up novel co-written by George R. R. Martin and Lisa Tuttle.,False
Cousinia,Many of the species in this genus were once classified in genus Arctium (Burdock).,"The genus Cousinia of the tribe Cardueae is in its current circumscription one of the larger genera in the Asteraceae, with approximately 600-700 species distributed in central and western Asia.",False
Chip Berlet,"He also studies the spread of conspiracy theories. Since the 1995 Oklahoma City bombing, Berlet has regularly appeared in the media to discuss extremist news stories. He was a senior analyst at Political Research Associates (PRA), a non-profit group that tracks right-wing networks. Berlet, a paralegal, was a vice-president of the National Lawyers Guild. He has served on the advisory board of the Center for Millennial Studies at Boston University, and for over 20 years was on the board of the Defending Dissent Foundation. In 1982, he was a Mencken Awards finalist in the best news story category for ""War on Drugs: The Strange Story of Lyndon LaRouche,"" which was published in High Times. He served on the advisory board of the Campaign to Defend the Constitution.","John Foster ""Chip"" Berlet is an American investigative journalist, research analyst, photojournalist, scholar, and activist specializing in the study of extreme right-wing movements in the United States.",False
1973 (song),"It was released as the lead single from his second studio album, All the Lost Souls (2007). First performed by James Blunt during his autumn 2006 North American tour, ""1973"" was released for radio play on 23 July 2007, to selected radio stations around the world. It was made available for download exclusively from the Verizon Wireless network in the United States on the same date. Starting on 7 August 2007, the song was made widely available for digital download, with physical releases being made available from 3 September 2007. The single peaked at number four on the UK Singles Chart.","""1973"" is a song by the English recording artist James Blunt.",False
Subjective logic,"In general, subjective logic is suitable for modeling and analysing situations involving uncertainty and relatively unreliable sources. For example, it can be used for modeling and analysing trust networks and Bayesian networks. Arguments in subjective logic are subjective opinions about state variables which can take values from a domain (aka state space), where a state value can be thought of as a proposition which can be true or false. A binomial opinion applies to a binary state variable, and can be represented as a Beta PDF (Probability Density Function). A multinomial opinion applies to a state variable of multiple possible values, and can be represented as a Dirichlet PDF (Probability Density Function). Through the correspondence between opinions and Beta/Dirichlet distributions, subjective logic provides an algebra for these functions. Opinions are also related to the belief representation in Dempster–Shafer belief theory. A fundamental aspect of the human condition is that nobody can ever determine with absolute certainty whether a proposition about the world is true or false. In addition, whenever the truth of a proposition is expressed, it is always done by an individual, and it can never be considered to represent a general and objective belief. These philosophical ideas are directly reflected in the mathematical formalism of subjective logic.",Subjective logic is a type of probabilistic logic that explicitly takes epistemic uncertainty and source trust into account.,False
Gode,"Located in the Shabelle  Zone, the city has a latitude and longitude of . Gode was the capital of the Somali Region until 1995, when Jijiga became the capital for political reasons. Gode Airport also known as Ugas Mirad Airport(IATA code GDE) has regular flights by Ethiopian Airlines. A bridge over the Shebelle River was built near Gode in 1968.",Gode is a city in the Somali Region of Ethiopia.,False
List of television theme music,"They are sorted alphabetically by the television series' title. Any themes, scores, or songs which are billed under a different name than their respective television series' title are shown in parentheses, except in cases where they are officially billed as ""Theme from [Series' Name]"", ""[Series' Name] Theme"", etc., which are omitted. This list does not include television series whose broadcast run was less than ten episodes (i.e. a ""failed"" series) unless officially designated as a television miniseries. In cases where more than one piece of music was used for the main theme during the broadcast run of a television series (Baywatch, Happy Days, Starsky & Hutch, etc.), only the most widely recognized score is referenced.",The following list contains scores or songs which are the primary theme music of a television series or miniseries.,False
The Young Black Stallion,"Directed by Simon Wincer, the film is based on the 1989 novel of the same name by Black Stallion creator Walter Farley and his son Steven Farley. Noted for its beautiful scenery and wide-angle shots, the 50-minute film was shot on-location in the deserts of Namibia and South Africa. The film stars Biana G. Tamimi as Neera, a young girl who befriends a young black stallion, and Patrick Elyas as Aden, although his voice was dubbed by Eric Grucza, who, for his uncredited performance was nominated in 2004 for a Young Artist Award for Best Performance in a Voice-Over Role. The film is Disney’s first production made specifically for IMAX theaters, and a prequel to the 1979 film The Black Stallion, which won an Academy Award and received nominations. The film was originally scheduled for release in fall 2002, then was postponed until September 2003, before debuting in select IMAX theaters in the United States on December 25, 2003.",The Young Black Stallion is a 2003 made-for-IMAX family film from Walt Disney Pictures.,False
Camp Rock,"It is about Mitchie (Demi Lovato), a young girl aspiring to be a singer, and her time at Camp Rock, a summer music camp, where she will discover friends, adversaries, romance, and her voice. The film premiered on Disney Channel on June 20, 2008. Camp Rock was the second DCOM to air on ABC's The Wonderful World of Disney after its premiere on Disney Channel and was placed on the iTunes Store for digital purchase shortly after its premiere. The film was watched by 8.9 million viewers on the night of its premiere and is currently the third highest viewed DCOM of all time, behind High School Musical 2 and  The Movie. The film was followed by a sequel,  The Final Jam (2010).","Camp Rock is a 2008 American musical television film directed by Matthew Diamond and starring Demi Lovato, Joe Jonas, Meaghan Martin, Maria Canals-Barrera, Daniel Fathers, and Alyson Stoner.",False
Luis Felipe Noé,"He is known in his home country as Yuyo. In 1961 he formed Otra Figuración (another figuration) with three other Argentine artists. Their eponymous exhibition and subsequent work greatly influenced the Neofiguration (Neo-figuration, New figuration) movement. After the group disbanded, Noé relocated to New York City where he painted and showed assemblages that stretched the boundaries of the canvas. In 1965 he published his groundbreaking theoretical work, Antiestética. He then took a ten-year hiatus from painting and upon return to Buenos Aires opened a bar, taught, wrote and created installations with mirrors. A military coup coincided with his painting comeback, and in 1976 Noé migrated to Paris where he continued to experiment, both with canvas re-texturing and the drawing process. His later paintings move away from the figure and focus on elements of landscape. Noé currently lives and works in Buenos Aires. His son, Gaspar Noé is a Franco-Argentine filmmaker.","Luis Felipe Noé is an Argentine artist, writer, intellectual and teacher.",False
University of South Dakota School of Law,"Established in 1901, by U.S. Ambassador Bartlett Tripp and U.S. Senator Thomas Sterling. The law school is home to approximately 168 students and has more than 3,000 alumni. With 168 J.D. candidates, it is currently the second-smallest law school and smallest public law school student population among the American Bar Association accredited law schools. The University of South Dakota School of Law has produced 8 Governors of South Dakota including as well as other key figures important to the development of the state, many judges of the  South Dakota Supreme Court and the U.S. District Court for the District of South Dakota, 13 members of the U.S. Congress, 19 Attorneys General of South Dakota, and 13 U.S. Attorneys for the District of South Dakota, earning it the nickname ""the Alma Mater of the State.""","The University of South Dakota School of Law also known as University of South Dakota Knudson School of Law or USD Law in Vermillion, South Dakota, United States, is a professional school of the University of South Dakota and the only law school in the state of South Dakota.",False
Completely Fair Scheduler,"It handles CPU resource allocation for executing processes, and aims to maximize overall CPU utilization while also maximizing interactive performance. In contrast to the previous O(1) scheduler used in older Linux 2.6 kernels, the CFS scheduler implementation is not based on run queues. Instead, a red–black tree implements a ""timeline"" of future task execution. Additionally, the scheduler uses nanosecond granularity accounting, the atomic units by which an individual process' share of the CPU was allocated (thus making redundant the previous notion of timeslices). This precise knowledge also means that no specific [are required to determine the interactivity of a process, for example. Like the old O(1) scheduler, CFS uses a concept called ""sleeper fairness"", which considers sleeping or waiting tasks equivalent to those on the runqueue. This means that interactive tasks which spend most of their time waiting for user input or other events get a comparable share of CPU time when they need it.",The Completely Fair Scheduler is a process scheduler which was merged into the 2.6.23 release of the Linux kernel and is the default scheduler.,False
Sports teams in Florida,"In professional sports, Florida has three National Football League teams, two Major League Baseball teams, two National Basketball Association teams, two National Hockey League teams, two Major League Soccer teams, one Women's Soccer team and many minor league teams in various sports. Additionally, since the late 19th century Florida has been a significant spring training destination for Major League Baseball teams and their affiliates. In college sports, thirteen Florida schools compete in NCAA Division I. Various others compete in other organizations including the NAIA, the NJCAA, the USCAA, The NCCAA and NCAA Division II.","Sports teams in Florida include many professional, semi-professional, amateur and college teams.",False
Charles Goulding,"After training as a choirboy, considerable youthful performing and distinguished service in the Army, Goulding joined D'Oyly Carte in 1919, with whom he would spend nearly all of his professional career.  He sang 14 different principal roles with the company between 1919 and 1936, including all of the leading tenor roles in the company's 11 Gilbert and Sullivan productions, plus Cyril in Princess Ida, Strephon in Iolanthe and Mr. Box in Cox and Box.  Despite his long service with the company, he was disappointed, whenever the more famous tenor Derek Oldham appeared with the company, to be given second choices of the tenor roles or to be omitted altogether, in the case of two American tours.  Oldham also played the tenor roles in most of the recordings made by the company during Goulding's tenure.",Charles Eric Goulding was a British operatic tenor and actor best known for his performances with the D'Oyly Carte Opera Company in the Gilbert and Sullivan repertory.,False
Oxy-fuel welding and cutting,"French engineers Edmond Fouché and Charles Picard became the first to develop oxygen-acetylene welding in 1903.  Pure oxygen, instead of air, is used to increase the flame temperature to allow localized melting of the workpiece material (e.g. steel) in a room environment. A common propane/air flame burns at about , a propane/oxygen flame burns at about , an oxyhydrogen flame burns at  and an acetylene/oxygen flame burns at about . During the early 20th century, before the development and availability of coated arc welding electrodes in the late 1920s that were capable of making sound welds in steel, oxy-acetylene welding was the only process capable of making welds of exceptionally high quality in virtually all metals in commercial use at the time. These included not only carbon steel but also alloy steels, cast iron, aluminium, and magnesium. In recent decades it has been superseded in almost all industrial uses by various arc welding methods offering greater speed and, in the case of gas tungsten arc welding, the capability of welding very reactive metals such as titanium. Oxy-acetylene welding is still used for metal-based artwork and in smaller home-based shops, as well as situations where accessing electricity (e.g., via an extension cord or portable generator) would present difficulties. The oxy-acetylene (and other oxy-fuel gas mixtures) welding torch remains a mainstay heat source for manual brazing and braze welding, as well as metal forming, preparation, and localized heat treating. In addition, oxy-fuel cutting is still widely used, both in heavy industry and light industrial and repair operations. In oxy-fuel welding, a welding torch is used to weld metals. Welding metal results when two pieces are heated to a temperature that produces a shared pool of molten metal. The molten pool is generally supplied with additional metal called filler. Filler material selection depends upon the metals to be welded. In oxy-fuel cutting, a torch is used to heat metal to its kindling temperature. A stream of oxygen is then trained on the metal, burning it into a metal oxide that flows out of the kerf as dross. Torches that do not mix fuel with oxygen (combining, instead, atmospheric air) are not considered oxy-fuel torches and can typically be identified by a single tank (oxy-fuel cutting requires two isolated supplies, fuel and oxygen). Most metals cannot be melted with a single-tank torch. Consequently, single-tank torches are typically suitable for soldering and brazing but not for welding.",Oxy-fuel welding and oxy-fuel cutting are processes that use fuel gases and oxygen to weld or cut metals.,False
Action algebra,"It adds the star or reflexive transitive closure operation of the latter to the former, while adding the left and right residuation or implication operations of the former to the latter.  Unlike dynamic logic and other modal logics of programs, for which programs and propositions form two distinct sorts, action algebra combines the two into a single sort.  It can be thought of as a variant of intuitionistic logic with star and with a noncommutative conjunction whose identity need not be the top element.  Unlike Kleene algebras, action algebras form a variety, which furthermore is finitely axiomatizable, the crucial axiom being a•(a → a)* ≤ a.  Unlike models of the equational theory of Kleene algebras (the regular expression equations), the star operation of action algebras is reflexive transitive closure in every model of the equations. __TOC__","In algebraic logic, an action algebra is an algebraic structure which is both a residuated semilattice and a Kleene algebra.",False
Batman: Masque,"The story takes the Batman mythos and loosely  combines it with Gaston Leroux's novel, The Phantom of the Opera.",Batman: Masque is a 1997 DC Comics Elseworlds one-shot written and illustrated by Mike Grell with coloring by Andre Khromov.,False
